transaction_id,price,date,postcode,property_type,new_build,tenure,paon,saon,street,locality,town,district,county,ppd_category,record_status
"{2F7F2B43-23E6-E08F-E063-4804A8C05A49}","205995","2021-06-11 00:00","WN8 6EU","D","Y","F","1","","JACKFIELD WAY","","SKELMERSDALE","WEST LANCASHIRE","LANCASHIRE","A","A"
"{2F7F2B43-23EC-E08F-E063-4804A8C05A49}","223995","2021-12-16 00:00","BB2 5DY","D","Y","F","18","","CLOUDBERRY CURVE","","BLACKBURN","BLACKBURN WITH DARWEN","BLACKBURN WITH DARWEN","A","A"
"{2F7F2B43-2478-E08F-E063-4804A8C05A49}","198495","2021-05-04 00:00","PR25 3EU","D","Y","F","16","","LIBRARY CLOSE","FARINGTON","LEYLAND","SOUTH RIBBLE","LANCASHIRE","A","A"
"{2F7F2B43-24B1-E08F-E063-4804A8C05A49}","269950","2021-05-28 00:00","PR4 2JY","D","N","F","5","","EATON PLACE","KIRKHAM","PRESTON","FYLDE","LANCASHIRE","A","A"
"{2F7F2B43-2738-E08F-E063-4804A8C05A49}","195000","2021-10-29 00:00","PE12 9ED","T","N","F","96A","","LONDON ROAD","LONG SUTTON","SPALDING","SOUTH HOLLAND","LINCOLNSHIRE","A","A"
"{2F7F2B43-253C-E08F-E063-4804A8C05A49}","400000","2021-03-19 00:00","LN8 5NG","D","N","F","GLEBE COTTAGE","","","HOLTON CUM BECKERING","MARKET RASEN","WEST LINDSEY","LINCOLNSHIRE","A","A"
"{2F7F2B43-25D2-E08F-E063-4804A8C05A49}","300000","2021-05-14 00:00","PE22 0JD","D","N","F","89","","BRAND END ROAD","BUTTERWICK","BOSTON","BOSTON","LINCOLNSHIRE","A","A"
"{2F7F2B43-BF6F-E08F-E063-4804A8C05A49}","40000","2021-07-22 00:00","E17 4JR","O","N","L","84","","BROOKSCROFT ROAD","","LONDON","WALTHAM FOREST","GREATER LONDON","B","A"
"{2F7F2B43-BFC0-E08F-E063-4804A8C05A49}","750590","2021-11-19 00:00","E14 0XH","F","Y","L","RENDEL HOUSE, 20","FLAT 1102","GOODLUCK HOPE WALK","","LONDON","TOWER HAMLETS","GREATER LONDON","B","A"
"{2F7F2B43-BFC9-E08F-E063-4804A8C05A49}","369600","2021-10-19 00:00","E14 0PZ","F","Y","L","DRESS MAKERS HOUSE, 20","FLAT 205","BLAIR STREET","","LONDON","TOWER HAMLETS","GREATER LONDON","B","A"
"{2F7F2B43-BFCA-E08F-E063-4804A8C05A49}","369600","2021-10-28 00:00","E14 0PZ","F","Y","L","DRESS MAKERS HOUSE, 20","FLAT 206","BLAIR STREET","","LONDON","TOWER HAMLETS","GREATER LONDON","B","A"
"{2F7F2B43-BFCB-E08F-E063-4804A8C05A49}","492800","2021-10-28 00:00","E14 0PZ","F","Y","L","DRESS MAKERS HOUSE, 20","FLAT 207","BLAIR STREET","","LONDON","TOWER HAMLETS","GREATER LONDON","B","A"
"{2F7F2B43-BFCC-E08F-E063-4804A8C05A49}","374000","2021-10-28 00:00","E14 0PZ","F","Y","L","DRESS MAKERS HOUSE, 20","FLAT 301","BLAIR STREET","","LONDON","TOWER HAMLETS","GREATER LONDON","B","A"
"{2F7F2B43-BFCD-E08F-E063-4804A8C05A49}","369600","2021-10-28 00:00","E14 0PZ","F","Y","L","DRESS MAKERS HOUSE, 20","FLAT 302","BLAIR STREET","","LONDON","TOWER HAMLETS","GREATER LONDON","B","A"
"{2F7F2B43-BFF4-E08F-E063-4804A8C05A49}","6592824","2021-12-16 00:00","","O","N","L","HIGH STREET QUARTER","BLOCK C RESIDENTIAL","HIGH STREET","","HOUNSLOW","HOUNSLOW","GREATER LONDON","B","A"
"{2F7F2B43-C04A-E08F-E063-4804A8C05A49}","2272480","2021-01-18 00:00","W2 1BW","F","N","L","WESTMARK TOWER, 1","APARTMENT 2408","NEWCASTLE PLACE","","LONDON","CITY OF WESTMINSTER","GREATER LONDON","B","A"
"{2F7F2B43-C080-E08F-E063-4804A8C05A49}","1500000","2021-08-20 00:00","W2 1EQ","F","Y","L","WESTMARK TOWER, 1","APARTMENT 1508","NEWCASTLE PLACE","","LONDON","CITY OF WESTMINSTER","GREATER LONDON","B","A"
"{2F7F2B43-C0D5-E08F-E063-4804A8C05A49}","475000","2021-06-30 00:00","LU4 0HL","D","N","F","737","","DUNSTABLE ROAD","","LUTON","LUTON","LUTON","B","A"
"{2F7F2B43-C1B5-E08F-E063-4804A8C05A49}","145000","2021-03-31 00:00","RG1 2DE","F","N","L","37","FLAT 3","MARKET PLACE","","READING","READING","READING","B","A"
"{2F7F2B43-C1BC-E08F-E063-4804A8C05A49}","1250000","2021-08-25 00:00","SL2 5AX","O","N","F","199","","STOKE ROAD","","SLOUGH","SLOUGH","SLOUGH","B","A"
"{2F7F2B43-C1BE-E08F-E063-4804A8C05A49}","320000","2021-08-27 00:00","RG10 9YD","O","N","F","OAK TIMBERS","","KNOWL HILL COMMON","KNOWL HILL","READING","WOKINGHAM","WOKINGHAM","B","A"
"{2F7F2B43-C24A-E08F-E063-4804A8C05A49}","1780000","2021-11-09 00:00","SL7 1XA","O","N","F","37","","HIGH STREET","","MARLOW","BUCKINGHAMSHIRE","BUCKINGHAMSHIRE","B","A"
"{2F7F2B43-C24E-E08F-E063-4804A8C05A49}","80000","2021-10-15 00:00","MK3 6PG","F","N","L","143","","MELLISH COURT","BLETCHLEY","MILTON KEYNES","MILTON KEYNES","MILTON KEYNES","B","A"
"{2F7F2B43-C27B-E08F-E063-4804A8C05A49}","575750","2021-12-14 00:00","HP22 5UJ","O","N","F","31","","ESKDALE ROAD","STOKE MANDEVILLE","AYLESBURY","BUCKINGHAMSHIRE","BUCKINGHAMSHIRE","B","A"
"{2F7F2B43-C341-E08F-E063-4804A8C05A49}","185000","2021-01-29 00:00","PE26 2SN","O","N","F","FARM VIEW","","ST MARYS ROAD","RAMSEY ST MARYS","HUNTINGDON","HUNTINGDONSHIRE","CAMBRIDGESHIRE","B","A"
"{2F7F2B43-C461-E08F-E063-4804A8C05A49}","345000","2021-09-27 00:00","","O","N","F","HERON BUSINESS PARK","UNIT B","TANHOUSE LANE","","WIDNES","HALTON","HALTON","B","A"
"{2F7F2B43-C527-E08F-E063-4804A8C05A49}","950000","2021-01-29 00:00","TR12 6JX","O","N","F","SHIPWRIGHTS ARMS","","","HELFORD","HELSTON","CORNWALL","CORNWALL","B","A"
"{2F7F2B43-C58B-E08F-E063-4804A8C05A49}","500000","2021-04-08 00:00","PL10 1HB","O","N","F","THE OLD COOPERAGE","","","MILLBROOK","TORPOINT","CORNWALL","CORNWALL","B","A"
"{2F7F2B43-C60E-E08F-E063-4804A8C05A49}","298000","2021-11-04 00:00","LA23 3DY","O","N","L","6","","ST MARTINS PARADE","BOWNESS ON WINDERMERE","WINDERMERE","WESTMORLAND AND FURNESS","WESTMORLAND AND FURNESS","B","A"
"{2F7F2B43-C6AE-E08F-E063-4804A8C05A49}","356275","2021-06-28 00:00","SA73 3SS","O","N","F","HERBRANDSTON HALL","","","HERBRANDSTON","MILFORD HAVEN","PEMBROKESHIRE","PEMBROKESHIRE","B","A"
"{2F7F2B43-C6FE-E08F-E063-4804A8C05A49}","175000","2021-05-06 00:00","SA70 7BP","O","N","L","THE OLD LIFEBOAT HOUSE","","CASTLE HILL","","TENBY","PEMBROKESHIRE","PEMBROKESHIRE","B","A"
"{2F7F2B43-C709-E08F-E063-4804A8C05A49}","1000000","2021-07-02 00:00","SY21 0JE","O","N","F","MOELDDOLWEN","","","LLANERFYL","WELSHPOOL","POWYS","POWYS","B","A"
"{2F7F2B43-C74A-E08F-E063-4804A8C05A49}","25000","2021-11-26 00:00","CF24 4AP","O","N","L","7 - 9","","MISKIN STREET","","CARDIFF","CARDIFF","CARDIFF","B","A"
"{2F7F2B43-C752-E08F-E063-4804A8C05A49}","145185","2021-09-30 00:00","CF81 9EF","O","Y","F","30","","BEECH AVENUE","ABERBARGOED","BARGOED","CAERPHILLY","CAERPHILLY","B","A"
"{2F7F2B43-C849-E08F-E063-4804A8C05A49}","300000","2021-10-28 00:00","EX36 3QU","D","N","F","SOUTHLEA COTTAGE","","","BISHOPS NYMPTON","SOUTH MOLTON","NORTH DEVON","DEVON","B","A"
"{2F7F2B43-C84A-E08F-E063-4804A8C05A49}","425000","2021-06-28 00:00","EX36 3JS","O","N","F","THE MEADOW","","","NORTH MOLTON","SOUTH MOLTON","NORTH DEVON","DEVON","B","A"
"{2F7F2B43-C84D-E08F-E063-4804A8C05A49}","13818","2021-12-15 00:00","EX34 7EN","O","N","F","BLUESTONE POINT","FLAT 1","NORTH MORTE ROAD","MORTEHOE","WOOLACOMBE","NORTH DEVON","DEVON","B","A"
"{2F7F2B43-C858-E08F-E063-4804A8C05A49}","15000","2021-05-28 00:00","EX15 1DW","O","N","F","25","","DUKE STREET","","CULLOMPTON","MID DEVON","DEVON","B","A"
"{2F7F2B43-C873-E08F-E063-4804A8C05A49}","117500","2021-03-31 00:00","EX31 4TL","O","N","F","ARKADIA FARM","","","BRATTON FLEMING","BARNSTAPLE","NORTH DEVON","DEVON","B","A"
"{2F7F2B43-C8A2-E08F-E063-4804A8C05A49}","275000","2021-08-02 00:00","EX35 6NU","O","N","F","MEADOWSWEET","","","OARE","LYNTON","NORTH DEVON","DEVON","B","A"
"{2F7F2B43-C8B9-E08F-E063-4804A8C05A49}","360000","2021-04-30 00:00","EX16 8BH","O","N","F","BRADLEIGH DOWN LODGE","","","CALVERLEIGH","TIVERTON","MID DEVON","DEVON","B","A"
"{2F7F2B43-CB0B-E08F-E063-4804A8C05A49}","2000","2021-12-21 00:00","DE24 5AZ","O","Y","F","21","","KIMBOLTON WAY","BOULTON MOOR","DERBY","SOUTH DERBYSHIRE","DERBYSHIRE","B","A"
"{2F7F2B43-CC5E-E08F-E063-4804A8C05A49}","685000","2021-09-10 00:00","BN24 5DH","O","N","F","125","","RATTLE ROAD","WESTHAM","PEVENSEY","WEALDEN","EAST SUSSEX","B","A"
"{2F7F2B43-CD62-E08F-E063-4804A8C05A49}","380000","2021-06-25 00:00","M27 5GZ","O","N","L","10","","ANSON ROAD","SWINTON","MANCHESTER","SALFORD","GREATER MANCHESTER","B","A"
"{2F7F2B43-CE42-E08F-E063-4804A8C05A49}","134500","2021-12-13 00:00","M15 5TP","F","N","L","314A","","STRETFORD ROAD","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","A"
"{2F7F2B43-CFD9-E08F-E063-4804A8C05A49}","312000","2021-04-27 00:00","AL1 5FU","O","N","F","APEX HOUSE, 81","","CAMP ROAD","","ST ALBANS","ST ALBANS","HERTFORDSHIRE","B","A"
"{2F7F2B43-D009-E08F-E063-4804A8C05A49}","95000","2021-05-28 00:00","EN6 4PE","O","N","F","OAK CHALET","PLOT 9","VINEYARDS ROAD","NORTHAW","POTTERS BAR","WELWYN HATFIELD","HERTFORDSHIRE","B","A"
"{2F7F2B43-D1AB-E08F-E063-4804A8C05A49}","35000","2021-07-09 00:00","DN17 3BT","O","N","L","19","","STATION ROAD","KEADBY","SCUNTHORPE","NORTH LINCOLNSHIRE","NORTH LINCOLNSHIRE","B","A"
"{2F7F2B43-D4BC-E08F-E063-4804A8C05A49}","93333","2021-07-06 00:00","PR25 1FF","S","Y","F","6","","ELM COURT","","LEYLAND","SOUTH RIBBLE","LANCASHIRE","B","A"
"{2F7F2B43-D4BD-E08F-E063-4804A8C05A49}","93724","2021-07-06 00:00","PR25 1FF","S","Y","F","4","","ELM COURT","","LEYLAND","SOUTH RIBBLE","LANCASHIRE","B","A"
"{2F7F2B43-D4CD-E08F-E063-4804A8C05A49}","630000","2021-12-06 00:00","LA1 1LH","O","N","L","60 - 62","FIRST AND SECOND FLOOR","CHURCH STREET","","LANCASTER","LANCASTER","LANCASHIRE","B","A"
"{2F7F2B43-D730-E08F-E063-4804A8C05A49}","155222","2021-01-05 00:00","M23 0DF","T","N","F","22","","SALE ROAD","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","A"
"{2F7F2B43-D742-E08F-E063-4804A8C05A49}","170000","2021-12-22 00:00","M3 6EN","F","N","L","ADELPHI WHARF PHASE 3","UNIT 613","ADELPHI STREET","","SALFORD","SALFORD","GREATER MANCHESTER","B","A"
"{2F7F2B43-D77C-E08F-E063-4804A8C05A49}","505000","2021-12-15 00:00","M4 7EJ","T","N","L","31","","GUEST STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","A"
"{2F7F2B43-D780-E08F-E063-4804A8C05A49}","215000","2021-11-05 00:00","M1 6DF","F","N","L","PORTLAND HOUSE, 103A","FLAT 1","PORTLAND STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","A"
"{2F7F2B43-D7A4-E08F-E063-4804A8C05A49}","163000","2021-09-28 00:00","M17 1HZ","F","N","L","4","APARTMENT 20101","WHARF END","TRAFFORD PARK","MANCHESTER","TRAFFORD","GREATER MANCHESTER","B","A"
"{2F7F2B43-D7A6-E08F-E063-4804A8C05A49}","529950","2021-06-30 00:00","M20 2WE","F","Y","L","PARKLAND BUILDING, 2","FLAT 38","BEMPTON DRIVE","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","A"
"{2F7F2B43-D7A9-E08F-E063-4804A8C05A49}","232750","2021-11-12 00:00","M17 1HZ","F","Y","L","4","APARTMENT 20306","WHARF END","TRAFFORD PARK","MANCHESTER","TRAFFORD","GREATER MANCHESTER","B","A"
"{2F7F2B43-D814-E08F-E063-4804A8C05A49}","355000","2021-09-14 00:00","M15 4SP","F","Y","L","3B","FLAT 309","SPINNERS WAY","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","A"
"{2F7F2B43-D83E-E08F-E063-4804A8C05A49}","195000","2021-06-16 00:00","M15 4SR","F","Y","L","3B","FLAT 702","SPINNERS WAY","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","A"
"{2F7F2B43-D8B1-E08F-E063-4804A8C05A49}","545000","2021-10-28 00:00","B62 8BF","O","N","L","COOMBSWOOD COURT","UNIT 5","STEELPARK ROAD","","HALESOWEN","DUDLEY","WEST MIDLANDS","B","A"
"{2F7F2B43-D8D2-E08F-E063-4804A8C05A49}","120000","2021-01-12 00:00","B68 9HD","F","N","L","146","","POTTERY ROAD","","OLDBURY","SANDWELL","WEST MIDLANDS","B","A"
"{2F7F2B43-D907-E08F-E063-4804A8C05A49}","175500","2021-12-22 00:00","CV6 5AY","F","Y","L","THE SILK WORKS, 256","APARTMENT 11","FOLESHILL ROAD","","COVENTRY","COVENTRY","WEST MIDLANDS","B","A"
"{2F7F2B43-D928-E08F-E063-4804A8C05A49}","216000","2021-07-20 00:00","B1 3AS","F","Y","L","TREASURE HOUSE, 1","APARTMENT 19","CARVER STREET","","BIRMINGHAM","BIRMINGHAM","WEST MIDLANDS","B","A"
"{2F7F2B43-D929-E08F-E063-4804A8C05A49}","362400","2021-12-02 00:00","B1 3ER","F","Y","L","TREASURE HOUSE, 4","APARTMENT 26","CARVER STREET","","BIRMINGHAM","BIRMINGHAM","WEST MIDLANDS","B","A"
"{2F7F2B43-D930-E08F-E063-4804A8C05A49}","173574","2021-04-08 00:00","B26 3YU","F","N","L","PARK GATE AT LYNDON PLACE, 2096","APARTMENT 108","COVENTRY ROAD","SHELDON","BIRMINGHAM","BIRMINGHAM","WEST MIDLANDS","B","A"
"{2F7F2B43-D9DA-E08F-E063-4804A8C05A49}","600000","2021-06-11 00:00","L8 4UE","O","N","F","258","","PARK ROAD","TOXTETH","LIVERPOOL","LIVERPOOL","MERSEYSIDE","B","A"
"{2F7F2B43-D9FA-E08F-E063-4804A8C05A49}","20000","2021-07-22 00:00","L3 8JA","O","N","L","129 - 139","UNIT 17","LONDON ROAD","","LIVERPOOL","LIVERPOOL","MERSEYSIDE","B","A"
"{2F7F2B43-D9FB-E08F-E063-4804A8C05A49}","21500","2021-10-14 00:00","L3 8JA","O","N","L","129 - 139","UNIT 34","LONDON ROAD","","LIVERPOOL","LIVERPOOL","MERSEYSIDE","B","A"
"{2F7F2B43-DA21-E08F-E063-4804A8C05A49}","5000","2021-04-12 00:00","L36 4AA","O","N","F","3","","BOLTON HEY","","LIVERPOOL","KNOWSLEY","MERSEYSIDE","B","A"
"{2F7F2B43-27D9-E08F-E063-4804A8C05A49}","249995","2021-04-16 00:00","PE10 0GT","D","N","F","25","","FALCON WAY","","BOURNE","SOUTH KESTEVEN","LINCOLNSHIRE","A","A"